title	director	cast	country	rating	listed_in	description	show_id	release_year	date_added	duration
Victim Number 8		César Mateo, María de Nati, Verónika Moral, Iñaki Ardanaz, Farah Hamed, Lisi Linder, Khaled Kouka, Óscar Zafra, Jesús Ruyman, Alfonso Torregrosa, Itziar Lazkano, Son Khoury, Youssef Bougarouane, Marcial Álvarez	Spain	TV-MA	International TV Shows, Spanish-Language TV Shows, TV Action & Adventure	No one can be trusted after a terrorist bombing in Bilbao kills seven and destroys the lives of the suspected jihadi and everyone around him.	81078331	2018		1
Cannon Busters		Yoshitsugu Matsuoka, Hinaki Yano, Shiori Izawa, Junji Majima, Yosuke Akimoto, Nobuyuki Hiyama, Takaya Kuroda, Katsuhisa Houki, Taro Yamaguchi, Junko Minagawa, Tomomi Maruyama	United States, Japan	TV-MA	Anime Series, International TV Shows	Immortal renegade Philly the Kid and his transforming pink Cadillac join a relentlessly upbeat friendship droid on her quest to find a missing prince.	80195357	2019		1
Til Death Do Us Part	Cho Li, Chen Hung-yi, Weica Wang, Liu Bang-yao, Lin Guan-fu, Shen Chi, YC Tom Lee	Wen Chen-ling, River Huang, Lin He-xuan, Phoebe Lin, Janel Tsai, Dara Hanfman, Hsia Teng-hung, Nikki Hsin-Ying Hsieh	Taiwan	TV-MA	International TV Shows, TV Dramas, TV Thrillers	Based on the speculative short stories of MirrorFiction, this sci-fi thriller anthology plunges headlong into our deepest desires – and darkest fears.	81122206	2019		1
Marvel's The Punisher		Jon Bernthal, Ebon Moss-Bachrach, Ben Barnes, Amber Rose Revah, Jason R. Moore, Daniel Webber, Jaime Ray Newman, Michael Nathanson, Deborah Ann Woll, Paul Schulze	United States	TV-MA	Crime TV Shows, TV Action & Adventure, TV Thrillers	A former Marine out to punish the criminals responsible for his family's murder finds himself ensnared in a military conspiracy.	80117498	2019		2
The World's Most Extraordinary Homes		Piers Taylor, Caroline Quentin	United Kingdom	TV-G	British TV Shows, Docuseries, International TV Shows	Award-winning architect Piers Taylor and actress/property enthusiast Caroline Quentin travel the world to tour unconventional homes in extreme places.	80213025	2019		3
Hip-Hop Evolution		Shad Kabango	Canada	TV-MA	Docuseries, International TV Shows	Interviews with influential MCs, DJs and moguls trace the genre's dynamic evolution from the 1970s through the 1990s in this documentary series.	80141782	2019		3
Friday Night Tykes			United States	TV-PG	Docuseries, Reality TV	This docuseries dives into the cutthroat world of Texas youth football, where kids face grueling demands and pressure from coaches and parents to win.	80082647	2017		4
Yunus Emre		Gökhan Atalay, Payidar Tüfekçioglu, Baran Akbulut, Mehmet Çepiç, Seda Tosun, Mehmet Ali Tuncer, Asuman Çakır, Müge Uyar, Rüzgar Aksoy, Ergun Taş, Sedat Erdiş, Ahmet Talay, Umut Tanyolu, Murat Ercanlı, Birand Tunca, Atilla Kiliç, Saygin Asan, Emrah Girgin	Turkey	TV-PG	International TV Shows, TV Dramas	During the Mongol invasions, Yunus Emre leaves his home to travel across the Ottoman Empire, defying hardships and temptations to become a dervish.	80126991	2016		2
Booba		Roman Karev	Russia	TV-Y	Kids' TV, TV Comedies	The world is a mystery to little Booba. But he approaches the curiosities around him with wonder, finding adventure in his everyday surroundings.	81011059	2019		3
Soul Eater		Chiaki Omigawa, Laura Bailey, Emiri Kato, Kouki Uchiyama, Micah Solusod, Yumiko Kobayashi, Brittney Karbowski, Mamoru Miyano, Todd Haberkorn, Kaori Nazuka, Monica Rial, Akeno Watanabe, Jamie Marchi, Narumi Takahira, Cherami Leigh, Houko Kuwashima	Japan	TV-14	Anime Series, International TV Shows	Maka and the other students at the Death Weapon Meister Academy must kill 99 evil humans and one witch, absorbing their spirits when they die.	70205024	2009		4
Rita		Mille Dinesen, Carsten Bjørnlund, Lise Baastrup, Nikolaj Groth, Ellen Hillingsø, Morten Vang Simonsen, Lykke Sand Michelsen, Carsten Norgaard, Sara Hjort Ditlevsen, Alexandre Willaume	Denmark	TV-MA	International TV Shows, TV Comedies, TV Dramas	Independent, outspoken and adored by her students, schoolteacher Rita fares less well with adults in this comedy-drama from Denmark.	70285368	2017		4
Grace and Frankie		Jane Fonda, Lily Tomlin, Martin Sheen, Sam Waterston, June Diane Raphael, Brooklyn Decker, Ethan Embry, Baron Vaughn	United States	TV-MA	TV Comedies, TV Dramas	They’re not friends, but when their husbands leave them for each other, proper Grace and eccentric Frankie begin to bond in this Emmy-nominated series.	80017537	2019		5
The Cat in the Hat Knows a Lot About That!	Tony Collingwood	Martin Short, Alexa Torrington, Jacob Ewaniuk, Robert Tinkler, Tracey Hoyt	Canada, United Kingdom, United States	TV-Y	Kids' TV	The Cat in the Hat is back – and this time, he's teaching Sally and her brother, Nick, some awfully nifty things to think about!	70180293	2014		2
Parks and Recreation		Amy Poehler, Rashida Jones, Aziz Ansari, Nick Offerman, Aubrey Plaza, Chris Pratt, Jim O'Heir, Retta, Adam Scott, Rob Lowe, Paul Schneider	United States	TV-14	TV Comedies	In this Emmy-nominated comedy, an employee with a rural Parks and Recreation department is full of energy and ideas but bogged down by bureaucracy.	70143842	2015		7
Taken		Clive Standen, Jennifer Beals, Gaius Charles, Brooklyn Sudano, Monique Gabriela Curnen, Michael Irby, James Landry Hébert, Jose Pablo Cantillo, James Landry Hebert	France, United States	TV-14	Crime TV Shows, TV Action & Adventure, TV Thrillers	After a personal tragedy upends his life, a highly skilled former Green Beret is drawn into a career as a secret government operative.	80158104	2018		2
Disjointed		Kathy Bates, Aaron Moten, Tone Bell, Dougie Baldwin, Elizabeth Ho, Elizabeth Alderfer, Chris Redd, Betsy Sodaro, Nicole Sullivan, Michael Trucco	United States	TV-MA	TV Comedies	Pot activist Ruth Whitefeather Feldman runs a medical marijuana dispensary while encouraging her loyal patients to chill out and enjoy the high life.	80117694	2018		2
Friends from College		Keegan-Michael Key, Cobie Smulders, Billy Eichner, Fred Savage, Nat Faxon, Annie Parisse, Jae Suh Park	United States	TV-MA	Romantic TV Shows, TV Comedies	Twenty years after graduation, a tight-knit group of college friends reconnects and discovers that love hasn't gotten easier with age.	80117485	2019		2
Hardy Bucks		Martin Maloney, Owen Colgan, Chris Tordoff, Peter Cassidy, Tom Kilgallon, Michael Salmon, Wayne Lynch, Tommy Miller	Ireland	TV-MA	TV Comedies	A circle of young men entertain vague ambitions involving quick cash, women and showbiz in this mockumentary on small-town Irish life in County Mayo.	81033895	2018		4
Horrid Henry		Lizzie Waterworth, Joanna Ruiz, Emma Tate, Sue Elliot Nicholls, Tamsin Heatley, Wayne Forester, Aidan Cook, Stephanie Anne Mills, David Holt	United Kingdom	TV-G	British TV Shows, Kids' TV, TV Comedies	To his family's frustration, Henry is skilled at making trouble, from babysitting pets in his bedroom to starting a shark panic at the swimming pool.	70301529	2019		2
Sin Senos sí Hay Paraíso		Majida Issa, Fabián Ríos, Catherine Siachoque, Carolina Gaitán, Juan Pablo Urrego, Francisco Bolívar, Johanna Fadul, Jennifer Arenas, Luigi Aycardi, Juan Pablo Llano, César Mora, Julián Beltrán, Stefanía Gómez, Diana Acevedo, Joselyn Gallardo, Jairo Ordoñez, Oscar Salazar, Gregorio Pernía, Carolina Sepúlveda	United States, Colombia	TV-MA	International TV Shows, Spanish-Language TV Shows, TV Dramas	Born into a small town controlled by the mafia, an irate young woman seeks revenge on the forces that tore apart and wrongfully imprisoned her family.	80153272	2018		3
Harvey Street Kids		Lauren Lapkus, Stephanie Lemelin, Kelly McCreary, Atticus Shaffer, Danny Pudi, Grey Griffin, Utkarsh Ambudkar, Roger Craig Smith	United States	TV-Y7	Kids' TV, TV Comedies	Kids rule in a place called Harvey Street, where a trio of girls right wrongs, ice cream is always an option, and every day feels like Saturday.	80178941	2019		3
Pocoyo		Stephen Fry, Alex Marty	Spain, United Kingdom	TV-Y	Kids' TV, Spanish-Language TV Shows	Discovery is the name of the game for friendly toddler Pocoyo in this lifelike and richly colored animated adventure series for preschoolers.	70288470	2017		4
Saint Seiya		Toru Furuya, Hirotaka Suzuoki, Ryo Horikawa, Koichi Hashimoto, Hideyuki Hori, Keiko Han, Yuriko Yamamoto, Kohei Miyauchi, Mami Koyama	Japan	TV-PG	Anime Series	A band of young warriors in magical armor vow to defend the reincarnation of Greek goddess Athena against evil forces and to return her to the throne.	70267476	1986		3
Border Security: America's Front Line			Canada	TV-14	Crime TV Shows, International TV Shows, Reality TV	This reality series chronicles the behind-the-scenes action as U.S. Customs and Border Protection agents safeguard the nation's crossings and ports.	80107514	2018		2
Rurouni Kenshin		Mayo Suzukaze, Miki Fujitani, Miina Tominaga, Yuji Ueda, Mika Doi, Yoshito Yasuhara, Hirotaka Suzuoki, Tomo Sakurai, Shuichi Ikeda	Japan	TV-14	Anime Series, International TV Shows	A nomadic swordsman arrives at a martial arts school in Meiji-era Japan, where he lands in the middle of a conflict involving the opium trade.	80016571	1998		3
A Series of Unfortunate Events		Neil Patrick Harris, Patrick Warburton, Malina Weissman, Louis Hynes, K. Todd Freeman, Joan Cusack, Aasif Mandvi	United States	TV-PG	Kids' TV, TV Action & Adventure, TV Comedies	The extraordinary Baudelaire orphans face trials, tribulations and the evil Count Olaf in their fateful quest to unlock long-held family secrets.	80050008	2019		3
COMEDIANS of the world		Neal Brennan, Chris D'Elia, Nicole Byer, Nick Swardson, DeAnne Smith, Ivan Decker, Dave Merheje, K. Trevor Wilson, Joel Dommett, Mae Martin, Nish Kumar, Ellie Taylor, Urzila Carlson, Joel Creasey, Nazeem Hussain, Cal Wilson, Riaad Moosa, Tumi Morake, Loyiso Gola, Loyiso Madinga, Atul Khatri, Aditi Mittal, Amit Tandon, Franco Escamilla, Hugo El Cojo Feliz, Gaby Llanas, Enissa Amani, Ilka Bessin, Kaya Yanar, Thiago Ventura, Mhel Merrer, Afonso Padilha, Shirley Souagnon, Jason Brokerss, Tania Dutel, Donel Jack'sman, Ibraheem Alkhairallah, Rawsan Hallak, Adi Khalefa, Moayad Alnefaie, Louis-José Houde, François Bellefeuille, Katherine Levac, Adib Alkhalidey, Martijn Koning, Soundos El Ahmadi, Rayen Panday	United States	TV-MA	Stand-Up Comedy & Talk Shows, TV Comedies	This global stand-up comedy series features a diverse set of comics from 13 regions bringing their perspectives on what's funny around the world.	81008236	2019		13
The Paper		Branka Katić, Trpimir Jurkic, Aleksandar Cvetković, Zijad Gračić, Olga Pakalović, Goran Markovic, Edita Karađole, Zdenko Jelcic, Tihana Lazovic, Mijo Jurišić, Dajana Čuljak, Alen Liverić, Anja Matković, Dragan Despot	Croatia	TV-MA	International TV Shows, TV Dramas	A construction magnate takes over a struggling newspaper and attempts to wield editorial influence for power and personal gain.	80226864	2018		2
Dexter		Michael C. Hall, Jennifer Carpenter, David Zayas, James Remar, C.S. Lee, Lauren Vélez, Desmond Harrington, Julie Benz, Christina Robinson, Geoff Pierson	United States	TV-MA	Crime TV Shows, TV Dramas, TV Mysteries	By day, mild-mannered Dexter is a blood-spatter analyst for the Miami police. But at night, he is a serial killer who only targets other murderers.	70136126	2013		8
Fullmetal Alchemist: Brotherhood	Yasuhiro Irie	Romi Park, Rie Kugimiya, Megumi Takamoto, Shinichiro Miki, Fumiko Orikasa, Kenji Utsumi, Keiji Fujiwara, Yuji Ueda, Biichi Sato, Tetsuya Kakihara, Kenji Hamada, Kaori Nazuka, Hidekatsu Shibata, Kenta Miyake, Kikuko Inoue, Tetsu Shiratori, Minami Takayama, Hiroyuki Yoshino, Yoko Soumi, Kazuya Nakai, Ryuzaburo Otomo	Japan	TV-14	Anime Series, International TV Shows	After both suffer physical damage – brothers Edward and Alphonse battle nefarious forces to try to reclaim their bodies in this supernatural anime.	70204981	2010		5
Huntik: Secrets and Seekers		Yuri Lowenthal, Drew Aaron, Karen Strassman, Marc Thompson, Rebecca Soler, Mike Pollock	United States, Italy	TV-Y7	Kids' TV	A high school student searching for his missing father joins a secret group known as the Seekers, who ally with aliens to protect the world from evil.	80020971	2011		2
Lovesick		Johnny Flynn, Antonia Thomas, Daniel Ings, Hannah Britland, Joshua McGuire, Richard Thomson, Jessica Ellerby	United Kingdom	TV-MA	British TV Shows, International TV Shows, Romantic TV Shows	In his quest for true love, Dylan found chlamydia. Joined by friends Evie and Luke, he relives past encounters as he notifies all his former partners.	80041601	2018		3
The Inbetweeners		Simon Bird, James Buckley, Blake Harrison, Joe Thomas, Greg Davies, Emily Head, Martin Trenaman, Belinda Stewart-Wilson, Robin Weaver, Henry Lloyd-Hughes	United Kingdom	TV-MA	British TV Shows, TV Comedies	This rib-tickling series follows four English lads as they try – and fail spectacularly – to navigate the wretched no-man's land of adolescence.	70157196	2010		3
Star Trek: Deep Space Nine		Avery Brooks, Nana Visitor, Rene Auberjonois, Cirroc Lofton, Alexander Siddig, Colm Meaney, Armin Shimerman, Terry Farrell, Michael Dorn	United States	TV-PG	TV Action & Adventure, TV Sci-Fi & Fantasy	"In this \"Star Trek\" spin-off, Commander Sisko leads the multi-species crew of Deep Space Nine, a Federation space station with a complex mission."	70158330	1999		7
Big Bad Beetleborgs		Wesley Barker, Herbie Baez, Elisabeth Lund, Shannon Chandler, Billy Forester, Frank Addela, Kyle Jordan, Dave 'Foots' Footman, Derek Stephen Prince, Vivian Smallwood	United States, France, Japan	TV-Y7-FV	Kids' TV, TV Comedies	When three teens free a spirit that offers to grant each a wish, they choose to become their favorite superheroes, launching a series of adventures.	70184127	1997		2
Mighty Morphin Power Rangers		Austin St. John, Thuy Trang, Walter Jones, Amy Jo Johnson, David Yost, Jason David Frank, Johnny Yong Bosch, Karan Ashley, Steve Cardenas, Catherine Sutherland, Paul Schrier, Jason Narvy, David Fielding, Richard Steven Horvitz, Barbara Goodson	United States, Japan	TV-Y7-FV	Kids' TV	Five average teens are chosen by an intergalactic wizard to become the Power Rangers, who must use their new powers to fight the evil Rita Repulsa.	70184128	2010		4
The Office (U.S.)		Steve Carell, John Krasinski, Jenna Fischer, Rainn Wilson, B.J. Novak, Ed Helms, Brian Baumgartner, David Denman, Creed Bratton, Kate Flannery, Mindy Kaling, Angela Kinsey, Paul Lieberstein, Oscar Nuñez, Phyllis Smith	United States	TV-14	TV Comedies	This hit comedy chronicles the foibles of disgruntled office workers – led by deluded boss Michael Scott – at the Dunder Mifflin paper company.	70136120	2012		9
V.R. Troopers		Michael Sorich, Gardner Baldwin, Mike Reynolds, Richard Rabago, Brad Hawkins, Michael Bacon, Kerrigan Mahan, Sarah Brown, Julian Combs, David Carr, Farrand Thompson, Zeb, Aaron Pruner	United States	TV-Y7-FV	Kids' TV	Three friends who study martial arts find themselves defending humanity from a criminal mastermind and his invading army from another dimension.	70184126	1995		2
The Break		Yoann Blanc, Guillaume Kerbush, Anne Coesens, Jasmina Douieb, Tom Audenaert, Sam Louwyck, Catherine Salée, Jean-Henri Compère	Belgium	TV-MA	Crime TV Shows, International TV Shows, TV Dramas	A police detective mourning a painful loss moves back to his peaceful hometown, only to be drawn into a murder case that dredges up dark secrets.	80142550	2018		2
Big Mouth		Nick Kroll, John Mulaney, Jessi Klein, Jason Mantzoukas, Jenny Slate, Fred Armisen, Maya Rudolph, Jordan Peele	United States	TV-MA	TV Comedies	Teenage friends find their lives upended by the wonders and horrors of puberty in this edgy comedy from real-life pals Nick Kroll and Andrew Goldberg.	80117038	2019		3
Man Like Mobeen			United Kingdom	TV-MA	British TV Shows, TV Comedies	Mobeen is trying to be a good friend, follow the faith and raise his teenage sister. Yet his past – and everyday life – complicates matters.	81031262	2019		2
One Day at a Time		Justina Machado, Rita Moreno, Todd Grinnell, Isabella Gomez, Marcel Ruiz, Stephen Tobolowsky	United States	TV-PG	TV Comedies	"In a reimagining of the TV classic, a newly single Latina mother raises her teen daughter and tween son with the \"help\" of her old-school mom."	80095532	2019		3
H2O: Just Add Water		Cariba Heine, Phoebe Tonkin, Angus McLaren, Burgess Abernethy, Claire Holt, Alan David Lee, Cleo Massey, Jamie Timony	Australia	TV-PG	Kids' TV, TV Dramas	The gals in this fantasy series cope with the burden of growing a giant fin and transforming into mermaids whenever they come in contact with water.	70180051	2009		3
Turbo FAST		Reid Scott, John Eric Bentley, Amir Talai, Phil LaMarr, Grey DeLisle, Michael Patrick Bell, Eric Bauza	United States	TV-Y7-FV	Kids' TV	Join Turbo and his posse, the Fast Action Stunt Team. Filled with comedy, action and fun, this series amps it up to the extreme.	70271773	2016		3
El Vato		El Dasa, Cristina Rodlo, Ricardo Polanco, Gustavo Egelhaaf, Mauricio Martínez, Itatí Cantoral, Arcelia Ramírez, Horacio Castelo, Fátima Molina, Leonardo Daniel, Giancarlo Vidrio, Mónica Dionne, Sebastián Ferrat, Mauricio Isaac, Aldo Gallardo, Julio Casado, Arnulfo Reyes Sanchez, José María de Tavira, Pablo Bracho, Patricio Sebastián	United States	TV-MA	International TV Shows, Spanish-Language TV Shows, TV Comedies	Regional Mexican singer El Vato and his friends struggle to succeed in the enticing but deceptive music world in Los Angeles, California.	80108450	2017		2
Babylon Berlin		Volker Bruch, Liv Lisa Fries, Peter Kurth, Leonie Benesch, Matthias Brandt, Severija Janusauskaite, Fritzi Haberlandt, Ivan Shvedoff, Lars Eidinger, Anton von Lucke, Misel Maticevic	Germany	TV-MA	Crime TV Shows, International TV Shows, TV Dramas	A Soviet freight train's hijacking leads a haunted cop and a poor typist to uncover a political conspiracy amid the vice and glamour of 1929 Berlin.	80136321	2017		2
Marseille		Gérard Depardieu, Benoît Magimel, Géraldine Pailhas, Nadia Farès, Stéphane Caillard, Jean-René Privat, Pascal Elso, Gérard Meylan	France	TV-MA	International TV Shows, TV Dramas, TV Thrillers	The longtime mayor of Marseille is preparing to hand over the reins to his protégé when a sudden and ruthless battle erupts for control of the city.	80037278	2018		2
Chef's Table			United States	TV-MA	Docuseries, Reality TV	In this Emmy-nominated docuseries, find out what's inside the kitchens and minds of the international culinary stars who are redefining gourmet food.	80007945	2019		6
Rebellion		Charlie Murphy, Ruth Bradley, Sarah Greene, Brian Gleeson, Michelle Fairley, Ian McElhinney, Michael Ford-FitzGerald, Paul Reid, Barry Ward, Tom Turner, Perdita Weeks, Andrew Simpson, Sophie Robinson	Ireland	TV-MA	International TV Shows, TV Dramas	As World War I rages, three women and their families in Dublin choose sides in the violent Easter Rising revolt against British rule.	80094273	2016		2
Suburra: Blood on Rome		Alessandro Borghi, Giacomo Ferrara, Eduardo Valdarnini, Francesco Acquaroli, Filippo Nigro, Claudia Gerini, Adamo Dionisi, Barbara Chichiarelli, Federico Tocci, Gerasimos Skiadaresis, Elisabetta De Palo, Carlotta Antonelli, Renato Marchetti, Paola Sotgiu	Italy	TV-MA	Crime TV Shows, International TV Shows, TV Dramas	In 2008, a fight over land in a seaside town near Rome spirals into a deadly battle between organized crime, corrupt politicians and the Vatican.	80081537	2019		2
The Big Family Cooking Showdown		Zoe Ball, Nadiya Hussain, Giorgio Locatelli, Rosemary Shrager	United Kingdom	TV-PG	British TV Shows, International TV Shows, Reality TV	In this unscripted series, families passionate about food serve up their most delicious dishes for the chance to be crowned Britain's best home cooks.	80186090	2018		2
Z4		Apollo Costa, Gabriel Santana, Matheus Lustosa, Pedro Rezende, Werner Schünemann, Manu Gavassi, Angela Dippe, Negra Li, Patrícia de Sabrit, César Pezzuoli, Carol Loback, Marina Brandão	Brazil	TV-PG	Kids' TV	Fading music biz veteran Zé realizes he has just one more chance at redemption: He must assemble a hit boy band from a ragtag group of pop newbies.	81041002	2018		2
Love Me As I Am		Alper Saldıran, Zeynep Çamcı, Burcu Altın, Umut Kurt, Eda Ece, Ozan Osmanpaşaoğlu, Mert Turak, Burcu Biricik, Yusuf Akgün, Selen Uçer		TV-14	International TV Shows, Romantic TV Shows, TV Comedies	After wealthy college boy Ömer and lower class college girl Aysem fall in love and quickly marry, they learn that love and life aren't always perfect.	80126684	2015		3
Bates Motel		Vera Farmiga, Freddie Highmore, Max Thieriot, Olivia Cooke, Nicola Peltz, Nestor Carbonell, Mike Vogel, Keegan Connor Tracy	United States	TV-14	Crime TV Shows, TV Dramas, TV Horror	When his father dies, Norman Bates and his mother open a hotel. But Norman's precarious mental state drives them down a dark and violent path.	70272479	2017		5
The Frankenstein Chronicles		Sean Bean, Tom Ward, Richie Campbell, Vanessa Kirby, Ed Stoppard, Ryan Sampson, Robbie Gee, Anna Maxwell Martin, Elliot Cowan, Charlie Creed-Miles, Eloise Smyth, Samuel West	United Kingdom	TV-MA	British TV Shows, Crime TV Shows, International TV Shows	A detective tracks what seems to be a killer with a taste for dismemberment in 1827 London, but the case leads in a far more terrifying direction.	80161335	2017		2
Bordertown		Ville Virtanen, Matleena Kuusniemi, Anu Sinisalo, Lenita Susi, Kristiina Halttu, Olivia Ainali, Ilkka Villi, Max Bremer, Matti Laine, Jasmin Hamid	Finland, France	TV-MA	Crime TV Shows, International TV Shows, TV Dramas	A gifted detective takes a job in a small town so he can spend more time with his family. But he's soon drawn into a web of disturbing murder cases.	80145143	2018		2
Club Friday The Series 8		Chutavuth Pattarakampol, Focus Jirakul, Sattaphong Phiangphor, Toni Rakkaen, Paula Taylor, Virithipa Phakdeeprasong, Pakkaramai Potranan		TV-14	International TV Shows, Romantic TV Shows, TV Comedies	The eighth installment of this popular Thai series, based on a real-life call-in radio show, dramatizes personal stories of romance and heartbreak.	80239798	2017		8
Dragons: Race to the Edge		Jay Baruchel, America Ferrera, T.J. Miller, Christopher Mintz-Plasse, Andree Vermeulen, Zack Pearlman	United States	TV-Y7-FV	Kids' TV, TV Action & Adventure	"From the creators of \"How to Train Your Dragon\" comes an all-new Netflix original series that takes Hiccup and Toothless to the edge of adventure!"	80039394	2018		6
Ugly Duckling		Mook Worranit Thawornwong, Puttichai Kasetsin, Natcha Juntapan, Neen Suwanamas, Esther Supreeleela, Shaun Jindachote, Lapassalal Jiravechsoontornkul, Chatchawit Techarukpong	Thailand	TV-14	International TV Shows, Romantic TV Shows, TV Dramas	Young women face up to their insecurities and circumstances, finding love and laughs along the way. Featuring a different storyline every season.	80993816	2015		4
Barbie Dreamhouse Adventures		America Young, Kirsten Day, Cassandra Morris, Cassidy Naber, Ritesh Rajan	United States	TV-Y	Kids' TV	Get to know Barbie and her BFFs – including next-door neighbor Ken – in this animated vlog of adventures filmed inside her family's new dreamhouse.	80192734	2018		3
Velvet Colección		Marta Hazas, Asier Etxeandía, Adrián Lastra, Diego Martín, Fernando Guallar, Llorenç González, Megan Montaner, Mónica Cruz, Marta Torné, Andrea Duro, Aitana Sánchez-Gijón, Adriana Ozores, Imanol Arias	Spain	TV-14	International TV Shows, Romantic TV Shows, Spanish-Language TV Shows	"In the late '60s, fashion designer Ana enlists friends Clara, Pedro and Raúl to open a store and design school in Barcelona in this \"Velvet\" spinoff."	80215507	2018		2
Dangerous Roads		Adrian Dunbar, Sue Perkins, Charley Boorman, Rhod Gilbert, Greg Davies, Ben Fogle, Hugh Dennis, Ed Byrne, Andy Parsons, Liza Tarbuck, David Baddiel	United Kingdom	TV-MA	British TV Shows, Docuseries	Using various 4x4 vehicles, celebrities steer their way across some of the most infamous roads and trickiest terrains on earth.	81059779	2012		2
Lego Friends		Elisa Schnebelie, Raquel Christiana, Lucia Vecchio, Karen Strassman, Michelle Ruff, Sam Riegel		TV-G	Kids' TV	As a way to make friends, new girl in town Olivia volunteers to work at the Heartlake City World Petacular with four other girls.	70304718	2017		3
LEGO Ninjago: Masters of Spinjitzu		Vincent Tong, Jillian Michaels, Ian James Corlett, John Novak, Paul Dobson, Michael Adamthwaite, Kelly Metzger, Brent Miller, Kirby Morrow, Brian Drummond, Mark Oliver, Michael Kopsa	Denmark, Singapore, Canada, United States	TV-Y7-FV	Kids' TV	Kai, Jay, Cole and Zane must master their elemental powers and Spinjitzu weapons to protect the land of Ninjago, which also has an underworld.	70252973	2018		9
The Garfield Show		Frank Welker, Wally Wingert, Gregg Berger	France, United States	TV-Y7	Kids' TV, TV Comedies	Lazy, lasagna-loving fat cat Garfield lives life on his own terms, which includes teasing his geeky owner, Jon, and tormenting dimwitted dog Odie.	70180088	2018		3
The Story of God with Morgan Freeman		Morgan Freeman	United States	TV-14	Docuseries	Host Morgan Freeman explores religion's role in human history, how our beliefs connect us and possible answers to life's million-dollar questions.	80178897	2017		2
Masha and the Bear		Alina Kukushkina, Boris Kutnevich, Giselle Nieto, Elsie Fisher	Russia	TV-Y	Kids' TV	Lively little Masha lives near the forest, where she has many wonderful adventures with her best friend, a bear who used to be in the circus.	70286901	2018		3
Under Arrest	Dan Forrer		United States	TV-MA	Crime TV Shows, Docuseries, International TV Shows	Cameras follow police officers as they solve crimes, assist the public and arrest lawbreakers in this reality series.	80080436	2016		8
The Furchester Hotel		Sarah Burgess, Ryan Dillon, Louise Gold, David Rudman, Andrew Spooner, Mak Wilson	United Kingdom, United States	TV-Y	British TV Shows, Kids' TV	"Elmo hops across the pond to help his extended monster family solve problems at their \"almost\" world-class establishment, the Furchester Hotel."	80112415	2015		2
Larva			Russia	TV-G	Kids' TV, Korean TV Shows, TV Comedies	Two curious worms spend their days investigating the otherworldly objects that fall through the grate into their subterranean world.	80008583	2015		3
Spartacus		Andy Whitfield, Liam McIntyre, Dustin Clare, John Hannah, Manu Bennett, Lucy Lawless, Peter Mensah, Nick E. Tarabay, Viva Bianca, Lesley-Ann Brandt, Jai Courtney, Daniel Feuerriegel	United States	TV-MA	TV Action & Adventure, TV Dramas	A Thracian man is condemned to a brutal death in the arena, only to outlast his executioners and be reborn as the enslaved gladiator Spartacus.	70136152	2013		4
The Borgias		Jeremy Irons, François Arnaud, Holliday Grainger, Peter Sullivan, Sean Harris, Joanne Whalley, Lotte Verbeek, Colm Feore, Vernon Dobtcheff, David Oakes	United States, Hungary, Ireland, Canada	TV-MA	TV Dramas	Follow the lives of the notorious Borgia family, a clan headed by plotting patriarch Rodrigo and his beautiful but treacherous daughter, Lucrezia.	70177084	2013		3
Neo Yokio		Jaden Smith, Jude Law, Tavi Gevinson, Susan Sarandon, Desus Nice, The Kid Mero, Richard Ayoade, Willow Smith, Kiernan Shipka, Jason Schwartzman, Amandla Stenberg, Ray Wise	United States	TV-MA	TV Comedies, TV Sci-Fi & Fantasy, Teen TV Shows	Joined by his faithful mecha-butler, Kaz Kaan pursues love, fashion and supernatural forces amid Neo Yokio's sinister high society.	80152350	2018		2
Fuller House		Candace Cameron Bure, Jodie Sweetin, Andrea Barber, Michael Campion, Elias Harger, Soni Bringas, Dashiell Messitt, Fox Messitt, John Stamos, Bob Saget, Dave Coulier, Lori Loughlin, Scott Weinger, Blake Tuomy-Wilhoit, Dylan Tuomy-Wilhoit, John Brotherton, Juan Pablo Di Pace	United States	TV-Y7	TV Comedies	The Tanner family’s adventures continue as DJ Tanner-Fuller shares a home with her sister Stephanie and friend Kimmy who help raise her three boys.	80051137	2018		4
Greenleaf		Merle Dandridge, Kim Hawthorne, Desiree Ross, Lamman Rucker, Tye White, Lynn Whitfield, Deborah Joy Winans, Keith David, Lovie Simone, Gregory Alan Williams, Oprah Winfrey	United States	TV-14	TV Dramas	Although members of the Greenleaf family run a Memphis megachurch, their business and personal lives are tainted with greed, adultery and other sins.	80140955	2018		3
From Dusk Till Dawn		D.J. Cotrona, Zane Holtz, Eiza Gonzalez, Jesse Garcia, Madison Davenport, Brandon Soo Hoo, Wilmer Valderrama, Robert Patrick, Jake Busey, Samantha Esteban, Don Johnson	United States	TV-MA	Classic & Cult TV, TV Action & Adventure, TV Horror	Bank-robbing brothers encounter vengeful lawmen and demons south of the border in this original series based on Robert Rodriguez' cult horror film.	70304245	2016		3
Occupied		Henrik Mestad, Ane Dahl Torp, Ingeborga Dapkunaite, Eldar Skar, Ragnhild Gudbrandsen, Kristin Braut-Solheim	Norway, Sweden	TV-MA	International TV Shows, TV Dramas, TV Thrillers	"In the near future, Russia initiates a \"silk glove\" invasion of Norway to restart oil production, but soon uncertainty, chaos and danger erupt."	80092654	2017		2
